time	clg	htg
hr 	btu	btu
690	6149	-491838
691	34247	-586705
692	29620	-587161
693	27145	-646812
694	15143	-655223
695	8456	-642471
696	6443	-616895
697	5856	-646716
698	5656	-683668
699	5530	-714872
700	5433	-723593
701	5347	-753019
702	5271	-583076
703	6054	-575968
704	31710	-679024
705	653	-468606
706	0	-363183
707	0	-308802
708	0	-298198
709	0	-291215
710	0	-232019
711	0	-210900
712	0	-219533
713	0	-289364
714	3860	-411303
715	44457	-527943
716	36463	-454183
717	33431	-485299
718	21243	-541871
719	11923	-594404
720	8400	-631437
721	7538	-665389
722	7257	-692476
723	7055	-721756
724	6885	-768843
725	6732	-792503
726	6826	-606482
727	7467	-593051
728	39925	-691098
729	0	-441666
730	0	-332170
731	0	-276177
732	0	-271253
733	0	-255310
734	0	-225898
735	0	-197350
736	0	-225195
737	0	-291094
738	1830	-423728
739	6276	-500114
740	45260	-614711
741	39845	-655501
742	24591	-715576
743	14410	-742385
744	9375	-743127
745	7990	-763612
746	7693	-770099
747	7474	-775459
748	7288	-775782
749	7136	-777731
750	6992	-609289
751	7815	-595135
752	43707	-688402
753	0	-393046
754	0	-269246
755	0	-209994
756	0	-204520
757	0	-194088
758	0	-159769
759	0	-128357
760	0	-164690
761	0	-254108
762	0	-398938
763	5459	-491033
764	6281	-508471
765	42353	-588996
766	25915	-658453
767	15329	-682162
768	10165	-722939
769	8295	-746808
770	7856	-799865
771	7643	-823077
772	7460	-813752
773	7294	-790800
774	7141	-637768
775	7960	-619433
776	45849	-705826
777	0	-431621
778	0	-332322
779	0	-289399
780	0	-289208
781	0	-281011
782	0	-237586
783	0	-226565
784	0	-248902
785	0	-319039
786	0	-442244
787	5551	-532088
788	6441	-596322
789	43330	-712968
790	26562	-735906
791	15830	-741137
792	10658	-721679
793	8549	-759297
794	7800	-798743
795	7459	-822092
796	7223	-819969
797	7017	-833665
798	6831	-826467
799	6668	-794109
800	22245	-758296
801	24260	-682999
802	21749	-651448
803	20355	-633061
804	19195	-628825
805	18208	-630219
806	15793	-492401
807	14671	-512026
808	13941	-525306
809	13178	-717353
810	12398	-728373
811	11650	-720806
812	6020	-660809
813	4157	-650684
814	4157	-628111
815	4157	-631247
816	4157	-605432
817	4157	-584998
818	4193	-543073
819	4169	-521647
820	4157	-546141
821	4157	-574041
822	4157	-602457
823	4157	-630729
824	10044	-750137
825	10738	-712312
826	9853	-701419
827	9447	-676601
828	9131	-684575
829	8877	-670599
830	7970	-528054
831	7641	-551174
832	7522	-574660
833	7368	-870437
834	7194	-895398
835	7025	-881947
836	4878	-850157
837	4157	-825906
838	4157	-819478
839	4157	-817678
840	4157	-814159
841	4157	-819585
842	4157	-792658
843	4157	-807275
844	4157	-915902
845	4157	-1035220
846	4157	-804840
847	4157	-810698
848	17768	-904366
849	6006	-727560
850	2886	-603675
851	308	-514730
852	568	-477745
853	241	-457236
854	0	-407222
855	0	-372420
856	0	-379301
857	3045	-451277
858	6222	-560536
859	33627	-663395
860	29014	-729772
861	26541	-820601
862	14533	-866494
863	8293	-859878
864	6433	-850912
865	5844	-871811
866	5643	-915430
867	5516	-936580
868	5417	-945820
869	5332	-967369
870	5254	-770339
871	6038	-750505
872	31455	-821671
873	1507	-570269
874	0	-453512
875	0	-384496
876	0	-367815
877	0	-352021
878	0	-311185
879	0	-284525
880	0	-291325
881	0	-354572
882	4615	-477729
883	43029	-608687
884	35890	-632622
885	32840	-725050
886	20630	-749854
887	11290	-784357
888	8219	-768616
889	7514	-809515
890	7236	-844141
891	7035	-885569
892	6867	-859898
893	6715	-839724
894	6699	-728399
895	7414	-712917
896	39060	-804102
897	0	-527713
898	0	-402095
899	0	-329226
900	0	-308361
901	0	-299905
902	0	-271109
903	0	-269281
904	0	-282773
905	0	-364804
906	2862	-499069
907	6288	-585886
908	39696	-764723
909	35796	-834857
910	23253	-890285
911	13817	-886157
912	9211	-882797
913	7975	-865238
914	7677	-819507
915	7459	-795220
916	7275	-800103
917	7121	-831561
918	6979	-625651
919	7797	-618764
920	42988	-707452
921	0	-419903
922	0	-310692
923	0	-267906
924	0	-273084
925	0	-259405
926	0	-217815
927	0	-182706
928	0	-208846
929	0	-291274
930	536	-433888
931	5789	-526370
932	45861	-705969
933	40099	-773548
934	25152	-759631
935	15050	-723821
936	9893	-660862
937	8216	-706345
938	7844	-723465
939	7634	-772978
940	7453	-740558
941	7288	-697679
942	7135	-536396
943	7954	-517110
944	46113	-604314
945	0	-304288
946	0	-179315
947	0	-124545
948	0	-120908
949	0	-116593
950	0	-79828
951	0	-44727
952	0	-69497
953	0	-143528
954	0	-285044
955	5314	-378347
956	6260	-347182
957	45716	-436483
958	27125	-439403
959	15830	-460159
960	10687	-447595
961	8579	-468832
962	7857	-474026
963	7529	-486317
964	7298	-495788
965	7096	-505479
966	6914	-515144
967	6754	-532589
968	22611	-624980
969	24688	-574946
970	22044	-533166
971	20586	-508151
972	19413	-492292
973	18431	-488400
974	11232	-369777
975	13376	-386827
976	9666	-387531
977	12164	-561586
978	12976	-587105
979	12104	-594721
980	6127	-566138
981	4157	-566209
982	4157	-561131
983	4157	-585494
984	4157	-581869
985	4157	-569938
986	4157	-555325
987	4157	-542103
988	4157	-536040
989	4157	-546128
990	4157	-532641
991	4157	-535262
992	10621	-619797
993	11382	-562399
994	10407	-534793
995	12608	-508254
996	12362	-487527
997	12034	-466456
998	8133	-345791
999	6811	-345465
1000	0	-355673
1001	3029	-431376
1002	2961	-455977
1003	7158	-492721
1004	4997	-491239
1005	4157	-525823
1006	4157	-528401
1007	4157	-527428
1008	4157	-530764
1009	4157	-515940
1010	4157	-512308
1011	4157	-500149
1012	4157	-522972
1013	4157	-534831
1014	4171	-453777
1015	4162	-441968
1016	18481	-530422
1017	5429	-355234
1018	77	-267466
1019	0	-225054
1020	0	-217756
1021	0	-205144
1022	0	-182330
1023	0	-162589
1024	0	-182236
1025	693	-234853
1026	6227	-348672
1027	35830	-448045
1028	29432	-403615
1029	26931	-445543
1030	14953	-501092
1031	8579	-540650
1032	6667	-576846
1033	6070	-612838
1034	5858	-646555
1035	5721	-680252
1036	5616	-714919
1037	5523	-736096
1038	5546	-511007
1039	6258	-490783
1040	33543	-581300
1041	0	-344046
1042	0	-245090
1043	0	-201355
1044	0	-212132
1045	0	-194461
1046	0	-147722
1047	0	-117640
1048	0	-142772
