1=Loop running this hour, 0=Off	Net hourly loop load, including thermal losses and pump heat	Net hourly loop load, including thermal losses and pump heat	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	5196.94	-1.64E+06	20	0
1	5196.16	-1.66E+06	21	0
1	5196.16	-1.67E+06	22	0
1	5203.48	-1.64E+06	22	0
1	5202.49	-1.09E+06	21	0
1	5206.1	-1.09E+06	21	0
1	5196.89	-1.12E+06	20	0
1	5196.16	-1.20E+06	20	0
1	5196.16	-1.24E+06	19	0
1	5201.15	-1.22E+06	18	0
1	5196.52	-1.04E+06	16	0
1	5202.35	-1.15E+06	15	0
1	5204.84	-1.12E+06	14	0
1	5203.68	-1.09E+06	12	0
1	5206.74	-1.05E+06	11	0
1	5196.92	-1.10E+06	10	0
1	5196.16	-1.11E+06	10	0
1	5196.16	-1.19E+06	9	0
1	5203.36	-1.16E+06	8	0
1	5218.43	-1.06E+06	6	0
1	5211.98	-996139	5	0
1	5197.23	-1.02E+06	5	0
1	5211.64	-1.68E+06	6	0
1	5210.38	-1.40E+06	6	0
1	5294.6	-905993	7	0
1	5220.5	-807392	9	0
1	5213.66	-732487	10	0
1	5209.1	-683165	10	0
1	5202.56	-651643	11	0
1	5196.58	-672434	11	0
1	5196.16	-834806	9	0
1	5214.76	-787642	7	0
1	5200.86	-766717	5	0
1	5196.42	-539695	7	0
1	5196.16	-233477	8	0
1	5196.16	-521174	10	0
1	5196.16	-579377	10	0
1	5203.93	-583034	11	0
1	5199.89	-595998	11	0
1	5196.42	-632640	11	0
1	5206.76	-602244	11	0
1	5196.94	-604391	11	0
1	5196.16	-815881	11	0
1	5196.16	-958870	11	0
1	5196.16	-1.23E+06	11	0
1	5201.59	-1.22E+06	15	0
1	5244.3	-1.69E+06	18	0
1	5245.66	-1.33E+06	22	0
1	5289.82	-863945	22	0
1	5203.02	-869455	22	0
1	5196.16	-849320	22	0
1	5220.57	-747860	22	0
1	5209.18	-702108	22	0
1	5197	-718621	22	0
1	5196.16	-930931	22	0
1	5197.16	-955536	22	0
1	5201.44	-908776	22	0
1	5196.55	-577222	22	0
1	5197.6	-218738	22	0
1	5196.29	-394450	22	0
1	5196.16	-463031	22	0
1	5207.63	-407299	21	0
1	5199.49	-414608	21	0
1	5196.37	-422895	21	0
1	5202.95	-404633	20	0
1	5196.68	-414727	20	0
1	5196.16	-420442	20	0
1	5196.16	-535421	19	0
1	5196.16	-550124	19	0
1	5208.22	-491900	19	0
1	5233.13	-906149	19	0
1	5232.8	-783291	19	0
1	5246.02	-635772	20	0
1	5199.77	-638064	22	0
1	5196.16	-651128	23	0
1	5213.28	-585210	25	0
1	5253.19	-555299	26	0
1	5222.93	-556354	28	0
1	5197.89	-693946	28	0
1	5196.16	-705055	27	0
1	5196.16	-721362	27	0
1	5196.16	-442064	27	0
1	5201.53	-130563	27	0
1	5196.58	-192401	27	0
1	5196.16	-204103	27	0
1	5196.16	-248600	28	0
1	5196.16	-309048	28	0
1	5196.16	-339025	28	0
1	5196.16	-376740	28	0
1	5196.16	-386716	28	0
1	5196.16	-413425	25	0
1	5196.16	-438116	21	0
1	5196.16	-463306	18	0
1	5207.03	-420526	18	0
1	5239.28	-867960	19	0
1	5233.73	-758062	19	0
1	5248.69	-607003	22	0
1	5199.96	-600798	25	0
1	5196.16	-601474	28	0
1	5248.79	-555357	28	0
1	5235.42	-541823	27	0
1	5198.83	-574704	27	0
1	5196.16	-727806	27	0
1	5196.16	-733915	27	0
1	5196.16	-711214	27	0
1	5196.16	-490799	27	0
1	5196.16	-180797	28	0
1	5196.16	-374428	28	0
1	5196.16	-461309	28	0
1	5198.08	-464014	27	0
1	5197.87	-464702	27	0
1	5196.32	-478883	27	0
1	5196.16	-514496	27	0
1	5196.16	-528178	27	0
1	5199.79	-547290	26	0
1	5196.45	-573360	24	0
1	5200.41	-559753	23	0
1	5196.47	-790302	22	0
1	5196.16	-1.35E+06	20	0
1	5196.16	-1.51E+06	19	0
1	5305.09	-941216	18	0
1	5207.34	-924587	18	0
1	5196.39	-936374	17	0
1	5230.02	-808929	16	0
1	5208.02	-756581	15	0
1	5196.87	-802521	14	0
1	5196.16	-1.31E+06	12	0
1	5196.16	-1.45E+06	9	0
1	5203.96	-1.43E+06	7	0
1	5196.76	-1.30E+06	6	0
1	5196.16	-897850	4	0
1	5196.16	-1.22E+06	3	0
1	5196.16	-1.27E+06	1	0
1	5242.4	-1.03E+06	0	0
1	5236.16	-908855	-2	0
1	5198.94	-935270	-3	0
1	5196.16	-973680	-5	0
1	5196.16	-1.07E+06	-6	0
1	5196.16	-1.09E+06	-7	0
1	5196.16	-1.11E+06	-7	0
1	5196.16	-1.14E+06	-8	0
1	5196.16	-1.22E+06	-7	0
1	5196.16	-1.89E+06	-6	0
1	5196.16	-1.85E+06	-5	0
1	5196.16	-1.83E+06	-3	0
1	5196.16	-1.70E+06	0	0
1	5203.33	-1.67E+06	2	0
1	5202.46	-1.62E+06	4	0
1	5217.21	-968114	7	0
1	5204.66	-992014	9	0
1	5196.68	-1.04E+06	5	0
1	5200.58	-1.05E+06	1	0
1	5196.5	-1.12E+06	-3	0
1	5208.99	-1.08E+06	-4	0
1	5197.15	-908862	-5	0
1	5210.69	-911456	-6	0
1	5214.49	-863630	-7	0
1	5198.91	-870995	-8	0
1	5212.81	-813949	-9	0
1	5197.42	-1.14E+06	-5	0
1	5196.16	-1.46E+06	-1	0
1	5196.16	-1.59E+06	3	0
1	5196.16	-1.55E+06	6	0
1	5196.16	-1.52E+06	10	0
1	5196.16	-1.46E+06	13	0
1	5196.16	-1.48E+06	14	0
1	5196.16	-1.87E+06	16	0
1	5196.16	-1.85E+06	17	0
1	5196.16	-1.83E+06	19	0
1	5196.16	-1.80E+06	20	0
1	5196.16	-1.76E+06	22	0
1	5210.64	-1.71E+06	23	0
1	5206.63	-1.25E+06	25	0
1	5209.25	-1.23E+06	26	0
1	5216.27	-1.13E+06	27	0
1	5212.75	-1.04E+06	29	0
1	5216.76	-939387	30	0
1	5197.63	-1.01E+06	32	0
1	5196.16	-861746	33	0
1	5196.16	-1.05E+06	35	0
1	5196.16	-1.15E+06	32	0
1	5196.16	-1.30E+06	28	0
1	5196.16	-1.40E+06	25	0
1	5196.16	-1.34E+06	24	0
1	5204.87	-1.30E+06	22	0
1	5219.98	-1.20E+06	21	0
1	5197.94	-1.21E+06	19	0
1	5196.16	-1.20E+06	16	0
1	5196.16	-1.23E+06	14	0
1	5196.16	-1.25E+06	13	0
1	5244.42	-1.68E+06	11	0
1	5231.69	-1.36E+06	10	0
1	5298.21	-872532	12	0
1	5222.75	-771590	15	0
1	5213.48	-698371	17	0
1	5207.05	-656611	17	0
1	5200.57	-644375	16	0
1	5196.45	-681173	16	0
1	5196.16	-871193	15	0
1	5198.14	-873691	15	0
1	5196.32	-890812	14	0
1	5196.16	-742884	14	0
1	5196.16	-365943	14	0
1	5196.16	-723241	14	0
1	5208.41	-727862	15	0
1	5221.74	-603038	16	0
1	5216.74	-561274	17	0
1	5197.57	-627011	17	0
1	5196.16	-752734	16	0
1	5196.16	-817965	16	0
1	5196.16	-841506	16	0
1	5196.16	-964065	16	0
1	5196.16	-977534	16	0
1	5196.16	-1.11E+06	16	0
1	5210.31	-1.73E+06	17	0
1	5197.23	-1.56E+06	17	0
1	5306.4	-1.01E+06	19	0
1	5205.77	-973212	20	0
1	5201.18	-936247	22	0
1	5237.21	-771618	22	0
1	5230.49	-652416	22	0
1	5210.07	-607481	22	0
1	5197.05	-666034	21	0
1	5196.16	-694317	21	0
1	5196.16	-695132	20	0
1	5196.16	-420633	20	0
1	5196.16	-173299	19	0
1	5196.16	-281091	19	0
1	5196.16	-396134	18	0
1	5196.16	-474285	16	0
1	5196.16	-530560	15	0
1	5196.16	-613049	15	0
1	5196.16	-770682	16	0
1	5196.16	-838876	16	0
1	5196.16	-933107	14	0
1	5196.16	-1.05E+06	12	0
1	5196.16	-1.16E+06	10	0
1	5196.16	-1.30E+06	12	0
1	5206.74	-1.54E+06	13	0
1	5203.46	-1.68E+06	15	0
1	5328.82	-1.15E+06	17	0
1	5211.5	-1.04E+06	20	0
1	5203.07	-987454	22	0
1	5236.89	-815699	23	0
1	5214.81	-750626	24	0
1	5197.34	-741227	25	0
1	5196.16	-1.05E+06	25	0
1	5196.16	-1.16E+06	26	0
1	5196.16	-1.16E+06	26	0
1	5196.16	-998980	27	0
1	5198.06	-509337	27	0
1	5196.32	-856622	28	0
1	5196.16	-965171	25	0
1	5203.31	-941721	22	0
1	5199.5	-936224	19	0
1	5196.37	-1.03E+06	16	0
1	5196.16	-1.04E+06	13	0
1	5196.16	-1.04E+06	10	0
1	5198.84	-1.03E+06	7	0
1	5197.52	-1.04E+06	8	0
1	5196.24	-1.12E+06	8	0
1	5196.16	-1.19E+06	9	0
1	5219.02	-1.47E+06	9	0
1	5213.4	-1.50E+06	10	0
1	5303.55	-942254	13	0
1	5214.98	-863188	15	0
1	5205.99	-825026	18	0
1	5226.66	-716184	20	0
1	5207.47	-667848	21	0
1	5196.84	-654672	23	0
1	5196.16	-854617	20	0
1	5196.16	-998479	16	0
1	5197.51	-1.00E+06	13	0
1	5196.26	-762466	11	0
1	5196.16	-352333	9	0
1	5196.16	-549989	7	0
1	5196.16	-732096	6	0
1	5202.83	-758922	6	0
1	5196.68	-833358	5	0
1	5196.16	-879212	4	0
1	5196.16	-975818	3	0
1	5196.16	-1.08E+06	2	0
1	5205.33	-1.04E+06	1	0
1	5210.88	-927191	1	0
1	5210.42	-891623	0	0
