"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	185053	-391258	8	0
1	178655	-390435	6	0
1	147634	-362072	4	0
1	101628	-322539	2	0
1	66164.3	-268823	-2	0
1	52327.1	-254031	-7	0
1	46451	-294126	-11	0
1	30316.9	-333471	-9	0
1	18301.8	-390159	-8	0
1	12139.4	-392123	-6	0
1	9830.73	-409349	-7	0
1	9134.62	-383820	-7	0
1	8834.13	-396589	-8	0
1	8617.38	-433863	-6	0
1	8423.19	-438338	-5	0
1	8241.93	-322956	-3	0
1	9667.92	-334260	-4	0
1	59930.8	-654216	-5	0
1	140202	-628772	-6	0
1	176053	-573893	-2	0
1	187921	-520185	1	0
1	184224	-394931	5	0
1	183806	-381158	7	0
1	193897	-458691	9	0
1	206000	-437257	11	0
1	198762	-446055	10	0
1	166768	-419584	9	0
1	118784	-382775	8	0
1	82535.8	-335506	10	0
1	62890.4	-526120	13	0
1	55100.7	-628781	15	0
1	35207.8	-680590	16	0
1	21702.7	-718527	17	0
1	15371.6	-694940	18	0
1	12936.6	-669051	19	0
1	11866.8	-664140	20	0
1	11094.3	-632185	21	0
1	10442.7	-639616	21	0
1	9854.92	-651318	22	0
1	9430.21	-327219	22	0
1	12444.5	-292509	22	0
1	69131.4	-543280	23	0
1	157594	-501001	23	0
1	194676	-472431	24	0
1	205691	-454161	24	0
1	201012	-340081	25	0
1	200025	-316367	26	0
1	210408	-401246	27	0
1	224413	-384184	28	0
1	210533	-382355	28	0
1	181699	-324381	28	0
1	133191	-261079	28	0
1	95836.2	-203707	28	0
1	73894.1	-164008	29	0
1	65210.5	-193628	29	0
1	39307	-269120	28	0
1	23418.5	-354344	26	0
1	16878.9	-401218	25	0
1	14144.5	-401396	23	0
1	12658.5	-350565	22	0
1	11625.1	-326859	20	0
1	10829.4	-318305	17	0
1	10135.5	-312291	14	0
1	9499.83	-303455	11	0
1	8939.02	-339277	10	0
1	27700.2	-454749	8	0
1	30217.3	-382842	7	0
1	27184.5	-358079	8	0
1	25514	-357035	9	0
1	24166.4	-369291	10	0
1	23025.8	-361190	11	0
1	19811.3	-204365	12	0
1	18424.6	-225412	13	0
1	17660.8	-253168	13	0
1	16838.2	-521830	14	0
1	15985	-594188	14	0
1	15152.8	-547393	15	0
1	6904.24	-499944	15	0
1	4153.27	-453761	16	0
1	4153.27	-434644	16	0
1	4153.27	-415163	16	0
1	4153.27	-394902	16	0
1	4153.27	-447821	16	0
1	4153.27	-494422	17	0
1	4153.27	-547881	17	0
1	4153.27	-545602	18	0
1	4153.27	-572891	18	0
1	4153.27	-568719	19	0
1	4153.27	-551215	19	0
1	13284.3	-521509	19	0
1	14331.9	-452581	19	0
1	12936.1	-413439	20	0
1	12216.5	-394937	21	0
1	11569.6	-382216	22	0
1	11024.9	-375588	22	0
1	9409.91	-209122	21	0
1	8745.55	-218695	21	0
1	8476	-246708	20	0
1	8278.5	-483356	20	0
1	8090.78	-520827	19	0
1	7906.56	-516220	18	0
1	5098.44	-507860	16	0
1	4153.27	-500865	15	0
1	4153.27	-489464	14	0
1	4153.27	-481658	12	0
1	4153.27	-465883	11	0
1	4153.27	-490302	10	0
1	4153.27	-494087	10	0
1	4153.27	-532190	9	0
1	4153.27	-516468	8	0
1	4153.27	-474266	6	0
1	4217.9	-321198	5	0
1	4175.42	-298341	5	0
1	28652.3	-578841	6	0
1	86551.2	-523999	6	0
1	117859	-470476	7	0
1	132967	-434791	9	0
1	133173	-320516	10	0
1	135742	-314289	10	0
1	148164	-401453	11	0
1	162300	-393509	11	0
1	156821	-397453	9	0
1	126921	-354529	7	0
1	83816.6	-298433	5	0
1	54404.7	-241353	7	0
1	42703	-223929	8	0
1	39008.6	-260694	10	0
1	24754.9	-308425	10	0
1	13297.5	-328958	11	0
1	8796	-336678	11	0
1	7736.31	-345386	11	0
1	7453.69	-325720	11	0
1	7271.21	-331618	11	0
1	7129.67	-417578	11	0
1	7007.08	-478696	11	0
1	6916.39	-310974	11	0
1	8053.29	-275024	15	0
1	52409.9	-520501	18	0
1	130339	-463260	22	0
1	167345	-444947	22	0
1	180599	-434626	22	0
1	177634	-324774	22	0
1	177790	-318475	22	0
1	188345	-404458	22	0
1	200371	-394431	22	0
1	193369	-393049	22	0
1	162094	-343972	22	0
1	115155	-285191	22	0
1	79786.8	-220445	22	0
1	62491	-196657	22	0
1	55066.1	-202196	22	0
1	33689	-228522	22	0
1	19890.6	-240939	21	0
1	13688.3	-241945	21	0
1	11349.4	-248265	21	0
1	10360.1	-244557	20	0
1	9658.26	-241128	20	0
1	9077.84	-245529	20	0
1	8655.05	-268415	19	0
1	8425.02	-220835	19	0
1	11220.9	-183804	19	0
1	69308.4	-414659	19	0
1	158438	-403810	19	0
1	195274	-388829	20	0
1	206814	-372548	22	0
1	202512	-275387	23	0
1	202027	-259359	25	0
1	213598	-352288	26	0
1	228745	-342165	28	0
1	212344	-347222	28	0
1	182546	-302259	27	0
1	133686	-237076	27	0
1	96174.2	-181332	27	0
1	74515.2	-129523	27	0
1	65920.9	-124507	27	0
1	39593.5	-143111	27	0
1	23039.7	-165219	28	0
1	16355.9	-181973	28	0
1	13877.8	-188953	28	0
1	12785.7	-208013	28	0
1	11991.7	-218287	28	0
1	11317.3	-244011	25	0
1	10706.5	-253117	21	0
1	10164.9	-194463	18	0
1	13472.3	-157260	18	0
1	80386.2	-380375	19	0
1	172713	-386353	19	0
1	212409	-366232	22	0
1	226276	-349311	25	0
1	215495	-243016	28	0
1	218290	-244213	28	0
1	232519	-344970	27	0
1	243705	-338948	27	0
1	224952	-338703	27	0
1	193694	-289534	27	0
1	143595	-221440	27	0
1	104432	-174088	27	0
1	80378	-140483	28	0
1	71061.3	-173763	28	0
1	43820.3	-210056	28	0
1	24798.1	-240168	27	0
1	17345.7	-246016	27	0
1	14835.2	-253048	27	0
1	13706.3	-260351	27	0
1	12876.8	-267591	27	0
1	12173.8	-264162	26	0
1	11536.2	-280682	24	0
1	11151.8	-196772	23	0
1	14272.1	-170196	22	0
1	85359.6	-422287	20	0
1	179800	-416125	19	0
1	217050	-394938	18	0
1	229787	-376525	18	0
1	218412	-284054	17	0
1	220509	-279240	16	0
1	233860	-364393	15	0
1	245797	-355606	14	0
1	227054	-362085	12	0
1	195122	-336104	9	0
1	145386	-300640	7	0
1	105642	-247282	6	0
1	80525.1	-388201	4	0
1	70358.4	-451863	3	0
1	42980.7	-459609	1	0
1	24740.6	-432116	0	0
1	17543.6	-382770	-2	0
1	14767.2	-411289	-3	0
1	13281.2	-433802	-5	0
1	12247.1	-451505	-6	0
1	11426.7	-468587	-7	0
1	10702.4	-480229	-7	0
1	10039.5	-496337	-8	0
1	9451.98	-537987	-7	0
1	28232.9	-526998	-6	0
1	30733.4	-453373	-5	0
1	27694.7	-415253	-3	0
1	26017.2	-384630	0	0
1	24663.9	-379105	2	0
1	23521.1	-371158	4	0
1	20250.7	-199864	7	0
1	18843	-205980	9	0
1	18073.4	-223864	5	0
1	17246.3	-412861	1	0
1	16386.8	-477961	-3	0
1	15556.6	-464182	-4	0
1	7007.52	-450742	-5	0
1	4153.27	-432959	-6	0
1	4153.27	-410008	-7	0
1	4153.27	-422050	-8	0
1	4164.15	-396266	-9	0
1	4157.02	-532271	-5	0
1	4153.27	-684235	-1	0
1	4153.27	-782850	3	0
1	4153.27	-733092	6	0
1	4153.27	-703301	10	0
1	4153.27	-655247	13	0
1	4153.27	-673955	14	0
1	13672.3	-592642	16	0
1	14784.4	-539914	17	0
1	13345.1	-503341	19	0
1	12600.2	-482987	20	0
1	11935.4	-447858	22	0
1	11374.4	-435906	23	0
1	9708.6	-249628	25	0
1	9028.17	-284595	26	0
1	8607.65	-282902	27	0
1	8315.24	-412354	29	0
1	8112.91	-380669	30	0
1	7933.04	-419611	32	0
1	5105.52	-418766	33	0
1	4153.27	-451456	35	0
1	4153.27	-510455	32	0
1	4153.27	-591300	28	0
1	4153.27	-643123	25	0
1	4153.27	-579602	24	0
1	4153.27	-562692	22	0
1	4153.27	-505844	21	0
1	4153.27	-521724	19	0
1	4153.27	-520369	16	0
1	4153.27	-332526	14	0
